Reference,Qty,Value,Link
"5V_IN1,GND1,GND2,GND3,VBAT1,VOUT1",Don't,Don't buy ,"Don't buy, these are just pin so you can solder ETC"
"C1,C2,C3",3,10uF,https://www.tme.eu/pl/details/grm21bz71c106ke15l/kondensatory-mlcc-smd/murata/
D1,1,CHG,https://www.tme.eu/pl/details/kp-2012ec/diody-led-smd-kolorowe/kingbright-electronic/
D2,1,DONE,https://www.tme.eu/pl/details/kp-2012zgc/diody-led-smd-kolorowe/kingbright-electronic/
J1,1,USB_C_Receptacle_PowerOnly_6P,https://www.tme.eu/pl/details/usb4125-gf-a-0190/zlacza-usb-i-ieee1394/gct/
JST-PH1,1,Conn_01x02_Socket,https://www.tme.eu/pl/details/s2b-ph-k-s/zlacza-sygnalowe-raster-2-00mm/jst/s2b-ph-k-s-lf-sn/
"R1,R2,R3",3,5.1K,https://www.tme.eu/pl/details/rc0805fr-075k1/rezystory-smd/yageo/rc0805fr-075k1l/
"R4,R6",2,1K,https://www.tme.eu/pl/details/rc0805fr-071k/rezystory-smd/yageo/rc0805fr-071kl/
R7,1,3.3K,https://www.tme.eu/pl/details/rc0805fr-073k3/rezystory-smd/yageo/rc0805fr-073k3l/
R8,1,10K,https://www.tme.eu/pl/details/rc0805fr-0710k/rezystory-smd/yageo/rc0805fr-0710kl/
U1,1,MCP73871,https://www.tme.eu/pl/details/mcp73871-2cci/kontrolery-baterii-i-akumulatorow-uklady/microchip-technology/mcp73871-2cci-ml/
